id,line_id,sequence,name_zh,name_en,code,marker_color,terminal_type,through_line_ids,notes,is_open,icon
R1-S03,R1,3,星莹窑洞,Starry Glow Cavern,R1-03,#481E1C,normal,L7,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,洞穴.png
R1-S04,R1,4,桃源,Idyllic Peach Land,R1-04,#481E1C,normal,L7,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,水乡.png
R1-S05,R1,5,绯霞径,Blossom Path,R1-05,#481E1C,normal,L7,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,河流-城市.png
R1-S06,R1,6,椿江机场,Chun jiang Airport,R1-06,#481E1C,normal,L7|L9,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,机场.png
R1-S08,R1,8,生态公园,Ecological Park,R1-08,#481E1C,normal,L9,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,公园.png
R1-S09,R1,9,林园西站,Linyuan West Railway Station,R1-09,#481E1C,normal,L9,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,火车站-小站.png
R1-S10,R1,10,林园坊,Linyuanfang,R1-10,#481E1C,normal,L9,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,商店2.png
R1-S11,R1,11,椿风巷,Chunfeng Lane,R1-11,#481E1C,normal,L9,依据79环线示意图.vsdx录入；英文名依据用户提供彩绘图人工核对；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,古镇.png
R1-S12,R1,12,冬椿古镇,Dongchun Ancient Town,R1-12,#481E1C,normal,L9,依据79环线示意图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,古镇.png
R1-S13,R1,13,冬椿山北,DongChun Mountain North,R1-13,#481E1C,through-end,L9,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,山.png
T1-S01,T1,1,布丁岛机库,Pudding Parking Lot,T1-01,#FFA800,terminal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,火车站-小站.png
T1-S02,T1,2,北地社区,Beidi Community,T1-02,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,社区中心.png
T1-S03,T1,3,布丁岛北,Pudding Island North,T1-03,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,岛屿.png
T1-S04,T1,4,琳琅苑,Linlang Villa District,T1-04,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,别墅.png
T1-S05,T1,5,薰衣草庄园,Lavender Manor,T1-05,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,庄园.png
T1-S06,T1,6,游客集散中心,Tourist Distribution Center,T1-06,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,换乘枢纽.png
T1-S07,T1,7,会展中心,Convention Center,T1-07,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,会展中心.png
T1-S08,T1,8,风车站,Windmill Station,T1-08,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,公园.png
T1-S09,T1,9,柠枫路,Ningfeng Road,T1-09,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,工厂.png
T1-S10,T1,10,车场站,Yard Station,T1-10,#FFA800,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,停车场.png
T1-S11,T1,11,生态研究中心,Ecological Center,T1-11,#FFA800,terminal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对,1,植物园.png
T2-S03,T2,1,盈水步行街,Yingshui Pedestrian Street,T2-01,#00FF00,terminal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对；站序依据用户提供绿色线路彩绘图人工核对,1,商业广场.png
T2-S02,T2,2,体育中心,Olympic Sports Center,T2-02,#00FF00,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对；站序依据用户提供绿色线路彩绘图人工核对,1,体育馆.png
T2-S07,T2,3,机库,Vehicle Depot,T2-03,#00FF00,normal,,依据用户提供绿色线路彩绘图人工核对补录,1,火车站-小站.png
T2-S01,T2,4,附一医,First Affiliated People's Hospital,T2-04,#00FF00,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对；站序依据用户提供绿色线路彩绘图人工核对,1,医院.png
T2-S06,T2,5,盈水大剧院,Yingshui Grand Theater,T2-05,#00FF00,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对；站序依据用户提供绿色线路彩绘图人工核对,1,大剧院.png
T2-S05,T2,6,雅诗朗格,Estate Langer Residential Area,T2-06,#00FF00,normal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对；站序依据用户提供绿色线路彩绘图人工核对,1,住宅.png
T2-S04,T2,7,盈水大学,Yingshui University,T2-07,#00FF00,terminal,,依据第七季规划图.vsdx录入；英文名依据用户提供彩绘图人工核对；站序依据用户提供绿色线路彩绘图人工核对；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,大学.png
T3-S01,T3,1,空港小镇,Airport Town,T3-01,#EA7293,terminal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,住宅.png
T3-S02,T3,2,椿江机场,Chun jiang Airport,T3-02,#EA7293,normal,,依据第七季规划图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,机场.png
T3-S03,T3,3,空港物流园,Airport Logistics Park,T3-03,#EA7293,normal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,物流中心.png
T3-S04,T3,4,绯霞径,Blossom Path,T3-04,#EA7293,normal,,依据第七季规划图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,河流-城市.png
T3-S05,T3,5,桃源,Idyllic Peach Land,T3-05,#EA7293,terminal,,依据第七季规划图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,水乡.png
T4-S02,T4,2,枫叶站,Maple Leaf Town Railway Station,T4-02,#964D22,normal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,火车站-城市.png
T4-S03,T4,3,虚数之构,Real-Imaginary Gateway,T4-03,#964D22,normal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,虚数之构.png
T4-S04,T4,4,新城家园,New Promised Land,T4-04,#964D22,normal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,
T4-S05,T4,5,枫景,Fengjing,T4-05,#964D22,normal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,商业广场.png
T4-S06,T4,6,枫桦,Fenghua,T4-06,#964D22,normal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,商业广场.png
T4-S07,T4,7,盈大博园,Yingshui University Boyuan Campus,T4-07,#964D22,normal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,大学.png
T4-S08,T4,8,熙枫,Xifeng,T4-08,#964D22,terminal,,依据第七季规划图.vsdx录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,住宅.png
T5-S01,T5,1,曦和洲,Xihe Isle,T5-01,#1781B5,terminal,,仅录入 Visio 中已明确命名的站点；源图注明示意图、非正式线路；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,公园.png
T5-S02,T5,2,产业园,industrial park,T5-02,#1781B5,normal,,仅录入 Visio 中已明确命名的站点；源图注明示意图、非正式线路；英文名依据站点名称牌PSD文字图层及PNG人工核对,0,科技园.png
T5-S03,T5,3,虚空东站,Void City East Railway Station,T5-03,#1781B5,terminal,,仅录入 Visio 中已明确命名的站点；源图注明示意图、非正式线路；英文名依据用户提供彩绘图人工核对,0,火车站-高铁.png
L10-S1785772003581,L10,7,盈水步行街,Yingshui Pedestrian Street,L10-08,#00F0FF,normal,,,1,商业广场.png
L1-S1785772211243,L1,2,枫叶站,Maple Leaf Town Railway Station,L1-09,#FFC600,normal,,英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,火车站-城市.png
L6-S1785772277538,L6,10,解放路,Jiefang Road,L6-11,#DF0024,normal,,,1,东方明珠.png
L5-S1785772333093,L5,7,狮山乐园,Shishan Paradise,L5-08,#0000FF,normal,,,1,游乐园.png
L8-S1786261375506,L8,1,芳叶港,Fragrant Leaf Harbor,L8-08,#1B9D06,normal,,,1,港口-货运.png
